ES25 呼吸系统感染／炎症，年龄＞17岁，不伴并发症或合并症
EX15 哮喘及喘息性支气管炎，年龄＞17岁，不伴并发症或合并症
EX25 百日咳及急性支气管炎，年龄＞17岁，不伴并发症或合并症
FR35 心绞痛，非5天内死亡或转院，不伴并发症或合并症
FV29 高血压
GD29 阑尾切除术
GE19 腹股沟及腹疝手术
GF19 肛管、肛门及肛周手术
GU29 其他消化溃疡
GW19 食管炎、胃肠炎，年龄＞17岁
IF59 骨科固定装置去除／修正术
IS15 前臂、腕、手或足损伤，年龄＞17岁，不伴并发症或合并症
IU25 颈腰背疾患，非5天内死亡或转院，不伴并发症或合并症
JT15 乳房、皮肤、皮下组织创伤，不伴并发症或合并症
KS15 糖尿病，非5天内死亡或转院，不伴并发症或合并症
LU15 肾及尿路感染，年龄＞17岁，不伴并发症或合并症
LX15 尿路结石、阻塞及尿道狭窄，不伴并发症或合并症
NS19 女性生殖系感染
VC15 与损伤有关的清创术，不伴并发症或合并症
VR15 损伤，不伴并发症或合并症
AE19 肾移植
AG19 异体骨髓／造血干细胞移植
AG29 自体骨髓／造血干细胞移植
AH19 气管切开伴呼吸机支持≥96小时或ECMO
BB19 脑创伤开颅术
BB29 除创伤之外的其他开颅术
BC19 伴出血诊断的颅内血管手术
BC29 脑室分流及翻修手术
BD19 脊髓手术
BD29 神经刺激器植入或去除术
BE19 颈及脑血管手术
BE29 脑血管介入治疗
BJ11 神经系统其他手术，伴严重并发症或合并症
BJ13 神经系统其他手术，伴并发症或合并症
BJ15 神经系统其他手术，不伴并发症或合并症
BL19 脑血管病溶栓治疗
BM11 脑血管介入检查术，伴严重并发症或合并症
BM13 脑血管介入检查术，伴并发症或合并症
BM15 脑血管介入检查术，不伴并发症或合并症
BR11 颅内出血性疾患，非5天内死亡或转院，伴严重并发症或合并症
BR13 颅内出血性疾患，非5天内死亡或转院，伴并发症或合并症
BR15 颅内出血性疾患，非5天内死亡或转院，不伴并发症或合并症
BR17 颅内出血性疾患，5天内死亡或转院
BR21 脑缺血性疾患，非5天内死亡或转院，伴严重并发症或合并症
BR23 脑缺血性疾患，非5天内死亡或转院，伴并发症或合并症
BR25 脑缺血性疾患，非5天内死亡或转院，不伴并发症或合并症
BR27 脑缺血性疾患，5天内死亡或转院
BS11 非创伤性意识障碍，伴严重并发症或合并症
BS13 非创伤性意识障碍，伴并发症或合并症
BS15 非创伤性意识障碍，不伴并发症或合并症
BT10 病毒性脑、脊髓和脑膜炎，年龄≤17岁
BT11 病毒性脑、脊髓和脑膜炎，年龄＞17岁，伴严重并发症或合并症
BT13 病毒性脑、脊髓和脑膜炎，年龄＞17岁，伴并发症或合并症
BT15 病毒性脑、脊髓和脑膜炎，年龄＞17岁，不伴并发症或合并症
BT21 神经系统的其他感染，伴严重并发症或合并症
BT23 神经系统的其他感染，伴并发症或合并症
BT25 神经系统的其他感染，不伴并发症或合并症
BU11 神经系统肿瘤，伴严重并发症或合并症
BU13 神经系统肿瘤，伴并发症或合并症
BU15 神经系统肿瘤，不伴并发症或合并症
BU20 神经系统变性疾患，年龄≤17岁
BU29 神经系统变性疾患，年龄＞17岁
BU39 脱髓鞘病及小脑共济失调
BV11 癫痫病，年龄＞17岁，伴严重并发症或合并症
BV12 癫痫病，年龄≤17岁，伴严重并发症或合并症
BV13 癫痫病，年龄＞17岁，伴并发症或合并症
BV14 癫痫病，年龄≤17岁，伴并发症或合并症
BV15 癫痫病，年龄＞17岁，不伴并发症或合并症
BV16 癫痫病，年龄≤17岁，不伴并发症或合并症
BV29 神经源性肌肉病
BV39 头痛
BW11 神经系统先天性疾患，伴严重并发症或合并症
BW13 神经系统先天性疾患，伴并发症或合并症
BW15 神经系统先天性疾患，不伴并发症或合并症
BW29 脑性麻痹
BX19 大脑功能失调
BX29 颅神经／周围神经疾患
BY10 颅脑开放性损伤，年龄≤17岁
BY11 颅脑开放性损伤，年龄＞17岁，伴严重并发症或合并症
BY13 颅脑开放性损伤，年龄＞17岁，伴并发症或合并症
BY15 颅脑开放性损伤，年龄＞17岁，不伴并发症或合并症
BY21 颅脑闭合性损伤，非5天内死亡或转院，伴严重并发症或合并症
BY23 颅脑闭合性损伤，非5天内死亡或转院，伴并发症或合并症
BY25 颅脑闭合性损伤，非5天内死亡或转院，不伴并发症或合并症
BY27 颅脑闭合性损伤，5天内死亡或转院
BY31 脊髓伤病及功能障碍，伴严重并发症或合并症
BY33 脊髓伤病及功能障碍，伴并发症或合并症
BY35 脊髓伤病及功能障碍，不伴并发症或合并症
BZ10 神经系统其他疾患，年龄≤17岁
BZ11 神经系统其他疾患，年龄＞17岁，伴严重并发症或合并症
BZ13 神经系统其他疾患，年龄＞17岁，伴并发症或合并症
BZ15 神经系统其他疾患，年龄＞17岁，不伴并发症或合并症
CB11 玻璃体、视网膜手术，伴严重并发症或合并症
CB13 玻璃体、视网膜手术，伴并发症或合并症
CB15 玻璃体、视网膜手术，不伴并发症或合并症
CB29 虹膜手术
CB31 晶体手术，伴严重并发症或合并症
CB33 晶体手术，伴并发症或合并症
CB35 晶体手术，不伴并发症或合并症
CB49 视网膜、虹膜及晶状体以外的内眼手术
CC19 角膜、巩膜、结膜手术
CD19 眼眶手术
CD29 除眼眶外的外眼手术
CJ19 其他眼部手术
CR19 眼部恶性肿瘤及交界性肿瘤
CS10 眼的神经及血管疾患，年龄≤17岁
CS19 眼的神经及血管疾患，年龄＞17岁
CT13 前房出血及眼创伤的非手术治疗，伴并发症或合并症
CT15 前房出血及眼创伤的非手术治疗，不伴并发症或合并症
CU19 急性重大眼感染
CV19 各种类型青光眼
CW19 各种类型白内障
CX19 其他疾患引起眼部病变
CZ11 其他眼部疾患，伴严重并发症或合并症
CZ13 其他眼部疾患，伴并发症或合并症
CZ15 其他眼部疾患，不伴并发症或合并症
DA19 头颈恶性肿瘤大手术
DB19 恶性肿瘤之外的头颈大手术
DB29 人工听觉装置植入
DC19 中耳／内耳／侧颅底手术
DC21 耳部其他小手术，伴严重并发症或合并症
DC23 耳部其他小手术，伴并发症或合并症
DC25 耳部其他小手术，不伴并发症或合并症
DD19 鼻成型术
DD29 鼻腔、鼻窦手术
DE19 咽、喉、气管手术
DE29 扁桃体和／或腺体样切除手术
DG19 腮腺及其他唾液腺手术
DG21 颅／面骨手术，伴严重并发症或合并症
DG23 颅／面骨手术，伴并发症或合并症
DG25 颅／面骨手术，不伴并发症或合并症
DG39 唇、腭裂修补术
DJ10 头颈、耳、鼻、咽、口其他手术，年龄≤17岁
DJ11 头颈、耳、鼻、咽、口其他手术，年龄＞17岁，伴严重并发症或合并症
DJ13 头颈、耳、鼻、咽、口其他手术，年龄＞17岁，伴并发症或合并症
DJ15 头颈、耳、鼻、咽、口其他手术，年龄＞17岁，不伴并发症或合并症
DK19 其他头、颈、耳、鼻、咽、口治疗操作
DR11 头颈、耳、鼻、咽、口恶性肿瘤，非5天内死亡或转院，伴严重并发症或合并症
DR13 头颈、耳、鼻、咽、口恶性肿瘤，非5天内死亡或转院，伴并发症或合并症
DR15 头颈、耳、鼻、咽、口恶性肿瘤，非5天内死亡或转院，不伴并发症或合并症
DR17 头颈、耳、鼻、咽、口恶性肿瘤，5天内死亡或转院
DS19 平衡失调及听觉障碍
DT19 中耳炎及上呼吸道感染
DT29 会厌炎、喉炎及气管炎
DU10 头颈、外耳、口、鼻的创伤及变形，年龄≤17岁
DU11 头颈、外耳、口、鼻的创伤及变形，年龄＞17岁，伴严重并发症或合并症
DU13 头颈、外耳、口、鼻的创伤及变形，年龄＞17岁，伴并发症或合并症
DU15 头颈、外耳、口、鼻的创伤及变形，年龄＞17岁，不伴并发症或合并症
DV19 头、颈、耳、鼻、咽、口非恶性增生性疾患
DW11 口腔、牙齿有关疾患，伴严重并发症或合并症
DW13 口腔、牙齿有关疾患，伴并发症或合并症
DW15 口腔、牙齿有关疾患，不伴并发症或合并症
DZ10 其他头颈、耳、鼻、咽、口疾患，年龄≤17岁
DZ11 其他头颈、耳、鼻、咽、口疾患，年龄＞17岁，伴严重并发症或合并症
DZ13 其他头颈、耳、鼻、咽、口疾患，年龄＞17岁，伴并发症或合并症
DZ15 其他头颈、耳、鼻、咽、口疾患，年龄＞17岁，不伴并发症或合并症
EB19 胸部大手术
EC19 纵隔手术
ED11 胸部其他手术，非5天内死亡或转院，伴严重并发症或合并症
ED13 胸部其他手术，非5天内死亡或转院，伴并发症或合并症
ED15 胸部其他手术，非5天内死亡或转院，不伴并发症或合并症
ED17 胸部其他手术，5天内死亡或转院
EJ11 呼吸系统其他手术，伴严重并发症或合并症
EJ13 呼吸系统其他手术，伴并发症或合并症
EJ15 呼吸系统其他手术，不伴并发症或合并症
ER11 呼吸系统肿瘤，伴严重并发症或合并症
ER13 呼吸系统肿瘤，伴并发症或合并症
ER15 呼吸系统肿瘤，不伴并发症或合并症
ER29 肺栓塞
ER31 肺水肿及呼吸衰竭，非5天内死亡或转院，伴严重并发症或合并症
ER33 肺水肿及呼吸衰竭，非5天内死亡或转院，伴并发症或合并症
ER35 肺水肿及呼吸衰竭，非5天内死亡或转院，不伴并发症或合并症
ER37 肺水肿及呼吸衰竭，5天内死亡或转院
ES19 呼吸系统结核
ES20 呼吸系统感染／炎症，年龄≤17岁
ES21 呼吸系统感染／炎症，年龄＞17岁，伴严重并发症或合并症
ES23 呼吸系统感染／炎症，年龄＞17岁，伴并发症或合并症
ET13 肺间质性疾患，伴并发症或合并症
ET15 肺间质性疾患，不伴并发症或合并症
ET29 慢性气道阻塞病
EU11 重大胸部创伤，伴严重并发症或合并症
EU13 重大胸部创伤，伴并发症或合并症
EU15 重大胸部创伤，不伴并发症或合并症
EV11 呼吸系统症状、体征，非5天内死亡或转院，伴严重并发症或合并症
EV13 呼吸系统症状、体征，非5天内死亡或转院，伴并发症或合并症
EV15 呼吸系统症状、体征，非5天内死亡或转院，不伴并发症或合并症
EV17 呼吸系统症状、体征，5天内死亡或转院
EW10 胸膜病变及胸腔积液，年龄≤17岁
EW11 胸膜病变及胸腔积液，年龄＞17岁，伴严重并发症或合并症
EW13 胸膜病变及胸腔积液，年龄＞17岁，伴并发症或合并症
EW15 胸膜病变及胸腔积液，年龄＞17岁，不伴并发症或合并症
EX10 哮喘及喘息性支气管炎，年龄≤17岁
EX11 哮喘及喘息性支气管炎，年龄＞17岁，伴严重并发症或合并症
EX13 哮喘及喘息性支气管炎，年龄＞17岁，伴并发症或合并症
EX20 百日咳及急性支气管炎，年龄≤17岁
EX21 百日咳及急性支气管炎，年龄＞17岁，伴严重并发症或合并症
EX23 百日咳及急性支气管炎，年龄＞17岁，伴并发症或合并症
EZ11 其他呼吸系统疾患，伴严重并发症或合并症
EZ13 其他呼吸系统疾患，伴并发症或合并症
EZ15 其他呼吸系统疾患，不伴并发症或合并症
FB19 心脏辅助系统植入
FB29 心脏瓣膜手术伴心导管操作
FB39 心脏瓣膜手术
FC19 冠状动脉搭桥伴PTCA
FC29 冠状动脉搭桥伴心导管操作
FC39 冠状动脉搭桥
FD19 先天性心脏病复杂手术
FD29 先天性心脏病常规手术
FD39 先天性心脏病介入治疗
FE19 主动脉手术
FF19 外周动脉人工／自体血管置换／搭桥手术
FF21 外周动脉其他手术，伴严重并发症或合并症
FF23 外周动脉其他手术，伴并发症或合并症
FF25 外周动脉其他手术，不伴并发症或合并症
FF31 静脉系统复杂手术，伴严重并发症或合并症
FF33 静脉系统复杂手术，伴并发症或合并症
FF35 静脉系统复杂手术，不伴并发症或合并症
FF49 静脉系统常规手术
FJ19 循环系统其他手术
FK19 永久性起搏器植入
FK29 心脏起搏器置换或更新
