AA19 心脏移植
AB19 肝移植
AC19 胰／肾联合移植
AD19 胰腺移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓／造血干细胞移植
AG29 自体骨髓／造血干细胞移植
AH19 气管切开伴呼吸机支持≥96小时或ECMO
BB11 脑创伤开颅术，伴严重并发症与合并症
BB13 脑创伤开颅术，伴一般并发症与合并症
BB15 脑创伤开颅术，不伴并发症与合并症
BB21 除创伤之外的其他开颅术，伴严重并发症与合并症
BB23 除创伤之外的其他开颅术，伴一般并发症与合并症
BB25 除创伤之外的其他开颅术，不伴并发症与合并症
BC11 伴出血诊断的颅内血管手术，伴严重并发症与合并症
BC13 伴出血诊断的颅内血管手术，伴一般并发症与合并症
BC15 伴出血诊断的颅内血管手术，不伴并发症与合并症
BC21 脑室分流及翻修手术，伴严重并发症与合并症
BC23 脑室分流及翻修手术，伴一般并发症与合并症
BC25 脑室分流及翻修手术，不伴并发症与合并症
BD11 脊髓手术，伴严重并发症与合并症
BD13 脊髓手术，伴一般并发症与合并症
BD15 脊髓手术，不伴并发症与合并症
BD29 神经刺激器植入或去除术
BE11 颈及脑血管手术，伴严重并发症与合并症
BE13 颈及脑血管手术，伴一般并发症与合并症
BE15 颈及脑血管手术，不伴并发症与合并症
BE29 脑血管介入治疗
BJ11 神经系统其他手术，伴严重并发症与合并症
BJ13 神经系统其他手术，伴一般并发症与合并症
BJ15 神经系统其他手术，不伴并发症与合并症
BL11 脑血管病溶栓治疗，伴严重并发症与合并症
BL13 脑血管病溶栓治疗，伴一般并发症与合并症
BL15 脑血管病溶栓治疗，不伴并发症与合并症
BM19 脑血管介入检查术
BR11 颅内出血性疾患，伴严重并发症与合并症
BR13 颅内出血性疾患，伴一般并发症与合并症
BR15 颅内出血性疾患，不伴并发症与合并症
BR21 脑缺血性疾患，伴严重并发症与合并症
BR23 脑缺血性疾患，伴一般并发症与合并症
BR25 脑缺血性疾患，不伴并发症与合并症
BS19 非创伤性意识障碍
BT11 病毒性脑、脊髓和脑膜炎，伴严重并发症与合并症
BT13 病毒性脑、脊髓和脑膜炎，伴一般并发症与合并症
BT15 病毒性脑、脊髓和脑膜炎，不伴并发症与合并症
BT21 神经系统的其他感染，伴严重并发症与合并症
BT23 神经系统的其他感染，伴一般并发症与合并症
BT25 神经系统的其他感染，不伴并发症与合并症
BU11 神经系统肿瘤，伴严重并发症与合并症
BU13 神经系统肿瘤，伴一般并发症与合并症
BU15 神经系统肿瘤，不伴并发症与合并症
BU21 神经系统变性疾患，伴严重并发症与合并症
BU23 神经系统变性疾患，伴一般并发症与合并症
BU25 神经系统变性疾患，不伴并发症与合并症
BU31 脱髓鞘病及小脑共济失调，伴严重并发症与合并症
BU33 脱髓鞘病及小脑共济失调，伴一般并发症与合并症
BU35 脱髓鞘病及小脑共济失调，不伴并发症与合并症
BV10 癫痫病＜17岁
BV11 癫痫病，伴严重并发症与合并症
BV13 癫痫病，伴一般并发症与合并症
BV15 癫痫病，不伴并发症与合并症
BV29 神经源性肌肉病
BV39 头痛
BW19 神经系统先天性疾患
BW29 脑性麻痹
BX11 大脑功能失调，伴严重并发症与合并症
BX13 大脑功能失调，伴一般并发症与合并症
BX15 大脑功能失调，不伴并发症与合并症
BX29 颅神经／周围神经疾患
BY19 颅脑开放性损伤
BY21 颅脑闭合性损伤，伴严重并发症与合并症
BY23 颅脑闭合性损伤，伴一般并发症与合并症
BY25 颅脑闭合性损伤，不伴并发症与合并症
BY31 脊髓伤病及功能障碍，伴严重并发症与合并症
BY33 脊髓伤病及功能障碍，伴一般并发症与合并症
BY35 脊髓伤病及功能障碍，不伴并发症与合并症
BZ11 神经系统其他疾患，伴严重并发症与合并症
BZ13 神经系统其他疾患，伴一般并发症与合并症
BZ15 神经系统其他疾患，不伴并发症与合并症
CB11 玻璃体、视网膜手术，伴严重并发症与合并症
CB13 玻璃体、视网膜手术，伴一般并发症与合并症
CB15 玻璃体、视网膜手术，不伴并发症与合并症
CB21 虹膜手术，伴严重并发症与合并症
CB23 虹膜手术，伴一般并发症与合并症
CB25 虹膜手术，不伴并发症与合并症
CB31 晶体手术，伴严重并发症与合并症
CB33 晶体手术，伴一般并发症与合并症
CB35 晶体手术，不伴并发症与合并症
CB41 视网膜、虹膜及晶状体以外的内眼手术，伴严重并发症与合并症
CB43 视网膜、虹膜及晶状体以外的内眼手术，伴一般并发症与合并症
CB45 视网膜、虹膜及晶状体以外的内眼手术，不伴并发症与合并症
CC11 角膜、巩膜、结膜手术，伴严重并发症与合并症
CC13 角膜、巩膜、结膜手术，伴一般并发症与合并症
CC15 角膜、巩膜、结膜手术，不伴并发症与合并症
CD19 眼眶手术
CD29 除眼眶外的外眼手术
CJ19 其他眼部手术
CR11 眼部恶性肿瘤及交界性肿瘤，伴严重并发症与合并症
CR13 眼部恶性肿瘤及交界性肿瘤，伴一般并发症与合并症
CR15 眼部恶性肿瘤及交界性肿瘤，不伴并发症与合并症
CS10 眼的神经及血管疾患＜17岁
CS19 眼的神经及血管疾患
CT11 前房出血及眼创伤的非手术治疗，伴严重并发症与合并症
CT13 前房出血及眼创伤的非手术治疗，伴一般并发症与合并症
CT15 前房出血及眼创伤的非手术治疗，不伴并发症与合并症
CU19 急性重大眼感染
CV19 各种类型青光眼
CW19 各种类型白内障
CX11 其他疾患引起眼部病变，伴严重并发症与合并症
CX13 其他疾患引起眼部病变，伴一般并发症与合并症
CX15 其他疾患引起眼部病变，不伴并发症与合并症
CZ11 其他眼部疾患，伴严重并发症与合并症
CZ13 其他眼部疾患，伴一般并发症与合并症
CZ15 其他眼部疾患，不伴并发症与合并症
DA11 头颈恶性肿瘤大手术，伴严重并发症与合并症
DA13 头颈恶性肿瘤大手术，伴一般并发症与合并症
DA15 头颈恶性肿瘤大手术，不伴并发症与合并症
DB11 恶性肿瘤之外的头颈大手术，伴严重并发症与合并症
DB13 恶性肿瘤之外的头颈大手术，伴一般并发症与合并症
DB15 恶性肿瘤之外的头颈大手术，不伴并发症与合并症
DB20 人工听觉装置植入＜17岁
DB29 人工听觉装置植入
DC10 中耳／内耳／侧颅底手术＜17岁
DC11 中耳／内耳／侧颅底手术，伴严重并发症与合并症
DC13 中耳／内耳／侧颅底手术，伴一般并发症与合并症
DC15 中耳／内耳／侧颅底手术，不伴并发症与合并症
DC21 耳部其他小手术，伴严重并发症与合并症
DC23 耳部其他小手术，伴一般并发症与合并症
DC25 耳部其他小手术，不伴并发症与合并症
DD19 鼻成型术
DD21 鼻腔、鼻窦手术，伴严重并发症与合并症
DD23 鼻腔、鼻窦手术，伴一般并发症与合并症
DD25 鼻腔、鼻窦手术，不伴并发症与合并症
DE11 咽、喉、气管手术，伴严重并发症与合并症
DE13 咽、喉、气管手术，伴一般并发症与合并症
DE15 咽、喉、气管手术，不伴并发症与合并症
DE21 扁桃体和／或腺样体切除手术，伴严重并发症与合并症
DE23 扁桃体和／或腺样体切除手术，伴一般并发症与合并症
DE25 扁桃体和／或腺样体切除手术，不伴并发症与合并症
DG11 腮腺及其他唾液腺手术，伴严重并发症与合并症
DG13 腮腺及其他唾液腺手术，伴一般并发症与合并症
DG15 腮腺及其他唾液腺手术，不伴并发症与合并症
DG21 颅／面骨手术，伴严重并发症与合并症
DG23 颅／面骨手术，伴一般并发症与合并症
DG25 颅／面骨手术，不伴并发症与合并症
DG30 唇、腭裂修补术＜17岁
DG39 唇、腭裂修补术
DJ11 头颈、耳、鼻、咽、口其他手术，伴严重并发症与合并症
DJ13 头颈、耳、鼻、咽、口其他手术，伴一般并发症与合并症
DJ15 头颈、耳、鼻、咽、口其他手术，不伴并发症与合并症
DK11 其他头颈、耳、鼻、咽、口治疗操作，伴严重并发症与合并症
DK13 其他头颈、耳、鼻、咽、口治疗操作，伴一般并发症与合并症
DK15 其他头颈、耳、鼻、咽、口治疗操作，不伴并发症与合并症
DR11 头颈、耳、鼻、咽、口恶性肿瘤，伴严重并发症与合并症
DR13 头颈、耳、鼻、咽、口恶性肿瘤，伴一般并发症与合并症
DR15 头颈、耳、鼻、咽、口恶性肿瘤，不伴并发症与合并症
DS19 平衡失调及听觉障碍
DT10 中耳炎及上呼吸道感染＜17岁
DT11 中耳炎及上呼吸道感染，伴严重并发症与合并症
DT13 中耳炎及上呼吸道感染，伴一般并发症与合并症
DT15 中耳炎及上呼吸道感染，不伴并发症与合并症
DT20 会厌炎、喉炎及气管炎＜17岁
DT21 会厌炎、喉炎及气管炎，伴严重并发症与合并症
DT23 会厌炎、喉炎及气管炎，伴一般并发症与合并症
DT25 会厌炎、喉炎及气管炎，不伴并发症与合并症
DU11 头颈、外耳、口、鼻的创伤及变形，伴严重并发症与合并症
DU13 头颈、外耳、口、鼻的创伤及变形，伴一般并发症与合并症
DU15 头颈、外耳、口、鼻的创伤及变形，不伴并发症与合并症
DV11 头颈、耳、鼻、咽、口非恶性增生性疾患，伴严重并发症与合并症
