AA19 心脏移植
AB11 肝移植，伴有严重并发症或合并症
AB15 肝移植，不伴严重并发症或合并症
AC19 胰／肾联合移植
AE19 肾移植
AF19 肺移植
AG19 异体骨髓／造血干细胞移植
AG29 自体骨髓／造血干细胞移植
AH19 有创呼吸机支持≥96小时或ECMO或全人工心脏移植术
BB13 脑创伤开颅术，伴并发症或合并症
BB15 脑创伤开颅术，不伴并发症或合并症
BB21 除创伤之外的其他开颅术，伴有严重并发症或合并症
BB23 除创伤之外的其他开颅术，伴有并发症或合并症
BB25 除创伤之外的其他开颅术，不伴并发症或合并症
BC13 伴出血诊断的颅内血管手术，伴并发症或合并症
BC15 伴出血诊断的颅内血管手术，不伴并发症或合并症
BC21 脑室分流及翻修手术，伴有严重并发症或合并症
BC23 脑室分流及翻修手术，伴有并发症或合并症
BC25 脑室分流及翻修手术，不伴并发症或合并症
BD11 脊髓手术，伴有严重并发症或合并症
BD13 脊髓手术，伴有并发症或合并症
BD15 脊髓手术，不伴并发症或合并症
BD29 神经刺激器植入或去除术
BE19 颈及脑血管手术
BE29 脑血管介入治疗
BJ11 神经系统其他手术，伴有严重并发症或合并症
BJ13 神经系统其他手术，伴有并发症或合并症
BJ15 神经系统其他手术，不伴并发症或合并症
BL19 脑血管病溶栓治疗
BM11 脑血管介入检查术，伴有严重并发症或合并症
BM15 脑血管介入检查术，不伴严重并发症或合并症
BR13 颅内出血性疾患，伴并发症或合并症
BR15 颅内出血性疾患，不伴并发症或合并症
BR23 脑缺血性疾患，伴并发症或合并症
BR25 脑缺血性疾患，不伴并发症或合并症
BS13 非创伤性意识障碍，伴并发症或合并症
BS15 非创伤性意识障碍，不伴并发症或合并症
BT11 病毒性脑、脊髓和脑膜炎，伴有严重并发症或合并症
BT13 病毒性脑、脊髓和脑膜炎，伴有并发症或合并症
BT15 病毒性脑、脊髓和脑膜炎，不伴并发症或合并症
BT21 神经系统的其他感染，伴有严重并发症或合并症
BT23 神经系统的其他感染，伴有并发症或合并症
BT25 神经系统的其他感染，不伴并发症或合并症
BU11 神经系统肿瘤，伴有严重并发症或合并症
BU13 神经系统肿瘤，伴有并发症或合并症
BU15 神经系统肿瘤，不伴并发症或合并症
BU23 神经系统变性疾患，伴并发症或合并症
BU25 神经系统变性疾患，不伴并发症或合并症
BU33 中枢神经系统脱髓鞘病，伴并发症或合并症
BU35 中枢神经系统脱髓鞘病，不伴并发症或合并症
BV11 癫痫，伴有严重并发症或合并症
BV13 癫痫，伴有并发症或合并症
BV15 癫痫，不伴并发症或合并症
BV21 神经肌肉接头及肌肉病，伴有严重并发症或合并症
BV23 神经肌肉接头及肌肉病，伴有并发症或合并症
BV25 神经肌肉接头及肌肉病，不伴并发症或合并症
BV33 头痛，伴并发症或合并症
BV35 头痛，不伴并发症或合并症
BW13 神经系统先天性疾患，伴并发症或合并症
BW15 神经系统先天性疾患，不伴并发症或合并症
BW23 脑性瘫痪，伴并发症或合并症
BW25 脑性瘫痪，不伴并发症或合并症
BX19 认知功能障碍
BX23 脑神经／周围神经疾患，伴并发症或合并症
BX25 脑神经／周围神经疾患，不伴并发症或合并症
BY11 颅脑损伤，伴有严重并发症或合并症
BY13 颅脑损伤，伴有并发症或合并症
BY15 颅脑损伤，不伴并发症或合并症
BY21 脊髓伤病及功能障碍，伴有严重并发症或合并症
BY23 脊髓伤病及功能障碍，伴有并发症或合并症
BY25 脊髓伤病及功能障碍，不伴并发症或合并症
BZ13 神经系统其他疾患，伴并发症或合并症
BZ15 神经系统其他疾患，不伴并发症或合并症
CB19 玻璃体、视网膜、脉络膜手术
CB29 虹膜手术
CB39 晶体手术
CB49 视网膜、虹膜及晶状体以外的内眼手术
CC11 角膜、巩膜、结膜手术，伴有严重并发症或合并症
CC15 角膜、巩膜、结膜手术，不伴严重并发症或合并症
CD19 除眼眶外的外眼手术
CD23 眼眶手术，伴并发症或合并症
CD25 眼眶手术，不伴并发症或合并症
CJ19 其他眼部手术
CR19 眼部恶性肿瘤及交界性肿瘤
CS11 眼外肌、眼的神经及血管疾病，伴有严重并发症或合并症
CS13 眼外肌、眼的神经及血管疾病，伴有并发症或合并症
CS15 眼外肌、眼的神经及血管疾病，不伴并发症或合并症
CT13 前房出血及眼创伤的非手术治疗，伴并发症或合并症
CT15 前房出血及眼创伤的非手术治疗，不伴并发症或合并症
CU11 急性重大眼感染，伴有严重并发症或合并症
CU13 急性重大眼感染，伴有并发症或合并症
CU15 急性重大眼感染，不伴并发症或合并症
CV19 各种类型青光眼
CW11 各种类型白内障，伴有严重并发症或合并症
CW15 各种类型白内障，不伴严重并发症或合并症
CX13 其他疾患引起眼部病变，伴并发症或合并症
CX15 其他疾患引起眼部病变，不伴并发症或合并症
CZ11 其他眼部疾患，伴有严重并发症或合并症
CZ13 其他眼部疾患，伴有并发症或合并症
CZ15 其他眼部疾患，不伴并发症或合并症
DA13 头颈恶性肿瘤大手术，伴并发症或合并症
DA15 头颈恶性肿瘤大手术，不伴并发症或合并症
DB19 恶性肿瘤之外的头颈大手术
DB29 人工听觉装置植入
DB39 唇、腭裂修补术
DC19 中耳／内耳／侧颅底手术
DC29 耳部其他小手术
DD19 鼻成型术
DD29 鼻腔、鼻窦手术
DE11 咽、喉、气管手术，伴有严重并发症或合并症
DE13 咽、喉、气管手术，伴有并发症或合并症
DE15 咽、喉、气管手术，不伴并发症或合并症
DE29 扁桃体和／或腺样体切除手术
DG19 腮腺及其他唾液腺手术
DG21 颅／面骨手术，伴有严重并发症或合并症
DG23 颅／面骨手术，伴有并发症或合并症
DG25 颅／面骨手术，不伴并发症或合并症
DJ11 头、颈、耳、鼻、咽、口其他手术，伴有严重并发症或合并症
DJ13 头、颈、耳、鼻、咽、口其他手术，伴有并发症或合并症
DJ15 头、颈、耳、鼻、咽、口其他手术，不伴并发症或合并症
DK11 其他头、颈、耳、鼻、咽、口治疗操作，伴有严重并发症或合并症
DK15 其他头、颈、耳、鼻、咽、口治疗操作，不伴严重并发症或合并症
DR11 头、颈、耳、鼻、咽、口恶性肿瘤，伴有严重并发症或合并症
DR13 头、颈、耳、鼻、咽、口恶性肿瘤，伴有并发症或合并症
DR15 头、颈、耳、鼻、咽、口恶性肿瘤，不伴并发症或合并症
DS13 平衡失调及听觉障碍，伴并发症或合并症
DS15 平衡失调及听觉障碍，不伴并发症或合并症
DT13 中耳炎及上呼吸道感染，伴并发症或合并症
DT15 中耳炎及上呼吸道感染，不伴并发症或合并症
DT23 会厌炎、喉炎及气管炎，伴并发症或合并症
DT25 会厌炎、喉炎及气管炎，不伴并发症或合并症
DU11 头、颈、外耳、口鼻的创伤及变形，伴有严重并发症或合并症
DU13 头、颈、外耳、口鼻的创伤及变形，伴有并发症或合并症
